"@timestamp","json.apk","json.PII","json.testing_label","json.country"
"Feb 6, 2020 @ 10:01:18.795","com.ticketswap.ticketswap","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:18.794","com.ticketswap.ticketswap","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:18.794","com.bl.critical.strike","Certificate Pinning","int_transfers_optout_aaid",Brazil
"Feb 6, 2020 @ 10:01:18.794","com.ticketswap.ticketswap","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:18.793","com.netflix.Speedtest","Certificate Pinning","int_transfers_optout_aaid",Germany
"Feb 6, 2020 @ 10:01:18.791","com.netflix.Speedtest","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:18.790","com.netflix.Speedtest","Certificate Pinning","int_transfers_optout_aaid",Germany
"Feb 6, 2020 @ 10:01:18.790","com.netflix.Speedtest","Certificate Pinning","int_transfers_optout_aaid",Germany
"Feb 6, 2020 @ 10:01:18.789","com.netflix.Speedtest","Certificate Pinning","int_transfers_optout_aaid",Germany
"Feb 6, 2020 @ 10:01:18.789","com.wegow.wegow","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:18.789","com.flying.car.robot.transformation.extreme.car.driving.games","Certificate Pinning","int_transfers_domain_added",Ireland
"Feb 6, 2020 @ 10:01:17.810","com.flying.car.robot.transformation.extreme.car.driving.games","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:17.623","com.flying.car.robot.transformation.extreme.car.driving.games","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:17.623","com.ticketswap.ticketswap","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:17.623","com.flying.car.robot.transformation.extreme.car.driving.games","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:17.622","com.netflix.Speedtest","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:17.622","com.ticketswap.ticketswap","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:17.291","com.flying.car.robot.transformation.extreme.car.driving.games","Certificate Pinning","int_transfers_domain_added",Ireland
"Feb 6, 2020 @ 10:01:17.291","com.hakik.photo.free.blender.pro","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:17.290","com.hakik.photo.free.blender.pro","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:17.109","com.hakik.photo.free.blender.pro","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:17.109","spanish.stickers.wastickerapps","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:16.921","com.flying.car.robot.transformation.extreme.car.driving.games","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:16.921","com.flying.car.robot.transformation.extreme.car.driving.games","Certificate Pinning","int_transfers_domain_added",Ireland
"Feb 6, 2020 @ 10:01:16.920","com.flying.car.robot.transformation.extreme.car.driving.games","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:16.920","com.sesi.happy.chick.layeggs","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:16.920","com.hakik.photo.free.blender.pro","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:16.783","com.netflix.Speedtest","Certificate Pinning",,Germany
"Feb 6, 2020 @ 10:01:16.783","com.netflix.Speedtest","Certificate Pinning",,Italy
"Feb 6, 2020 @ 10:01:16.783","com.netflix.Speedtest","Certificate Pinning",,Italy
"Feb 6, 2020 @ 10:01:16.783","com.netflix.Speedtest","Certificate Pinning",,Italy
"Feb 6, 2020 @ 10:01:16.783","com.netflix.Speedtest","Certificate Pinning",,Germany
"Feb 6, 2020 @ 10:01:16.782","com.sesi.happy.chick.layeggs","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:16.654","com.viagogo.consumer.viagogo.playstore","Certificate Pinning","int_transfers_demo","United States"
"Feb 6, 2020 @ 10:01:16.654","com.bl.critical.strike","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:16.532","spanish.stickers.wastickerapps","Certificate Pinning","int_transfers_domain_added",Australia
"Feb 6, 2020 @ 10:01:16.532","com.choiceoflove.dating","Certificate Pinning","int_transfers_domain_added",Ireland
"Feb 6, 2020 @ 10:01:16.531","com.puntosconductor","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:16.531","com.hakik.photo.free.blender.pro","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:16.365","com.bl.critical.strike","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:16.365","com.puntosconductor","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:16.365","spanish.stickers.wastickerapps","Certificate Pinning","int_transfers_domain_added",Australia
"Feb 6, 2020 @ 10:01:16.365","com.ayogamez.sketchcartoon","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:16.365","com.flying.car.robot.transformation.extreme.car.driving.games","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:16.365","com.choiceoflove.dating","Certificate Pinning","int_transfers_domain_added",Ireland
"Feb 6, 2020 @ 10:01:16.365","com.sesi.happy.chick.layeggs","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:16.214","com.wegow.wegow","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:16.213","com.viagogo.consumer.viagogo.playstore","Certificate Pinning","int_transfers_demo","United States"
"Feb 6, 2020 @ 10:01:16.213","com.bl.critical.strike","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:16.213","com.puntosconductor","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:16.213","com.hakik.photo.free.blender.pro","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:16.213","spanish.stickers.wastickerapps","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:16.213","com.ayogamez.sketchcartoon","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:16.213","com.choiceoflove.dating","Certificate Pinning","int_transfers_domain_added",Ireland
"Feb 6, 2020 @ 10:01:16.213","com.sesi.happy.chick.layeggs","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:15.263","com.choiceoflove.dating","Certificate Pinning","int_transfers_domain_added",Ireland
"Feb 6, 2020 @ 10:01:15.262","com.viagogo.consumer.viagogo.playstore","Certificate Pinning","int_transfers_demo","United States"
"Feb 6, 2020 @ 10:01:15.262","com.bl.critical.strike","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:15.262","com.puntosconductor","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:15.262","spanish.stickers.wastickerapps","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:15.262","com.ayogamez.sketchcartoon","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:15.261","spanish.stickers.wastickerapps","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:15.261","com.ayogamez.sketchcartoon","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:15.260","com.viagogo.consumer.viagogo.playstore","Certificate Pinning","int_transfers_demo","United States"
"Feb 6, 2020 @ 10:01:15.260","com.puntosconductor","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:15.077","com.sesi.happy.chick.layeggs","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:15.077","com.flying.car.robot.transformation.extreme.car.driving.games","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:15.076","com.viagogo.consumer.viagogo.playstore","Certificate Pinning","int_transfers_demo","United States"
"Feb 6, 2020 @ 10:01:15.076","com.google.android.gm","Certificate Pinning","int_transfers_demo","United States"
"Feb 6, 2020 @ 10:01:15.076","com.puntosconductor","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:15.076","spanish.stickers.wastickerapps","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:15.076","com.ayogamez.sketchcartoon","Certificate Pinning","int_transfers_domain_added","United States"
